------- 2018-10-25 16:52:17.401690 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     967.853,           0,          15,     0.75000,     0.99917,     0.98333,     0.97960
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     990.267,           0,           0,     6.25000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1051.680,           0,           0,     6.25000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     938.109,           0,           0,     6.25000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1022.473,           0,           0,     6.25000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     986.377,           0,           0,     6.25000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1035.823,           0,         110,     6.25000,     0.99306,     0.87778,     1.03813
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1018.133,           0,         110,     6.25000,     0.99306,     0.87778,     1.02040
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1060.404,           0,         110,     6.25000,     0.99306,     0.87778,     1.06276
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     980.378,           0,         110,     6.25000,     0.99306,     0.87778,     0.98256
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1114.161,           0,         110,     6.25000,     0.99306,     0.87778,     1.11664
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1003.423,           0,           0,    17.55000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1015.774,           0,           0,    17.55000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1029.639,           0,           0,    17.55000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1287.321,           0,           0,    17.55000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1015.729,           0,           0,    17.55000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1156.071,           0,         226,    17.55000,     0.98050,     0.74889,     1.08006
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1268.239,           0,         226,    17.55000,     0.98050,     0.74889,     1.18485
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1163.798,           0,         226,    17.55000,     0.98050,     0.74889,     1.08728
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1208.566,           0,         226,    17.55000,     0.98050,     0.74889,     1.12910
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1562.866,           0,         226,    17.55000,     0.98050,     0.74889,     1.46011
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1143.390,           0,           0,    33.95000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1102.491,           0,           0,    33.95000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1091.724,           0,           0,    33.95000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1089.693,           0,           0,    33.95000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1148.192,           0,           0,    33.95000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6663.879,           0,         328,    33.95000,     0.96228,     0.63556,     5.97605
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6572.470,           0,         328,    33.95000,     0.96228,     0.63556,     5.89407
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6572.716,           0,         328,    33.95000,     0.96228,     0.63556,     5.89429
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    5427.475,           0,         328,    33.95000,     0.96228,     0.63556,     4.86726
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6410.732,           0,         328,    33.95000,     0.96228,     0.63556,     5.74903
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1084.972,           0,           0,    55.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1042.816,           0,           0,    55.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1057.152,           0,           0,    55.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1195.774,           0,           0,    55.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1107.555,           0,           0,    55.35000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6943.982,           0,         428,    55.35000,     0.93850,     0.52444,     6.32620
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7128.603,           0,         428,    55.35000,     0.93850,     0.52444,     6.49440
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6586.309,           0,         428,    55.35000,     0.93850,     0.52444,     6.00035
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7100.133,           0,         428,    55.35000,     0.93850,     0.52444,     6.46846
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6985.695,           0,         428,    55.35000,     0.93850,     0.52444,     6.36421
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1096.087,           0,           0,    80.65000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1103.921,           0,           0,    80.65000,     0.00000,     0.00000,     0.00000
